prompt_id,seed,prompt
0,0,A golden retriever chasing a red ball across a sunlit park lawn
0,1,A golden retriever chasing a red ball across a sunlit park lawn
0,2,A golden retriever chasing a red ball across a sunlit park lawn
0,3,A golden retriever chasing a red ball across a sunlit park lawn
0,4,A golden retriever chasing a red ball across a sunlit park lawn
0,5,A golden retriever chasing a red ball across a sunlit park lawn
0,6,A golden retriever chasing a red ball across a sunlit park lawn
0,7,A golden retriever chasing a red ball across a sunlit park lawn
1,0,A chef flipping a pancake in a busy restaurant kitchen
1,1,A chef flipping a pancake in a busy restaurant kitchen
1,2,A chef flipping a pancake in a busy restaurant kitchen
1,3,A chef flipping a pancake in a busy restaurant kitchen
1,4,A chef flipping a pancake in a busy restaurant kitchen
1,5,A chef flipping a pancake in a busy restaurant kitchen
1,6,A chef flipping a pancake in a busy restaurant kitchen
1,7,A chef flipping a pancake in a busy restaurant kitchen
2,0,Waves crashing against a rocky lighthouse during a storm
2,1,Waves crashing against a rocky lighthouse during a storm
2,2,Waves crashing against a rocky lighthouse during a storm
2,3,Waves crashing against a rocky lighthouse during a storm
2,4,Waves crashing against a rocky lighthouse during a storm
2,5,Waves crashing against a rocky lighthouse during a storm
2,6,Waves crashing against a rocky lighthouse during a storm
2,7,Waves crashing against a rocky lighthouse during a storm
3,0,"A hummingbird hovering next to a bright pink flower, slow motion"
3,1,"A hummingbird hovering next to a bright pink flower, slow motion"
3,2,"A hummingbird hovering next to a bright pink flower, slow motion"
3,3,"A hummingbird hovering next to a bright pink flower, slow motion"
3,4,"A hummingbird hovering next to a bright pink flower, slow motion"
3,5,"A hummingbird hovering next to a bright pink flower, slow motion"
3,6,"A hummingbird hovering next to a bright pink flower, slow motion"
3,7,"A hummingbird hovering next to a bright pink flower, slow motion"
4,0,Time-lapse of clouds rolling over a mountain range at sunrise
4,1,Time-lapse of clouds rolling over a mountain range at sunrise
4,2,Time-lapse of clouds rolling over a mountain range at sunrise
4,3,Time-lapse of clouds rolling over a mountain range at sunrise
4,4,Time-lapse of clouds rolling over a mountain range at sunrise
4,5,Time-lapse of clouds rolling over a mountain range at sunrise
4,6,Time-lapse of clouds rolling over a mountain range at sunrise
4,7,Time-lapse of clouds rolling over a mountain range at sunrise
5,0,"A cyclist riding through a rainy city street at night, neon reflections"
5,1,"A cyclist riding through a rainy city street at night, neon reflections"
5,2,"A cyclist riding through a rainy city street at night, neon reflections"
5,3,"A cyclist riding through a rainy city street at night, neon reflections"
